Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening 1;;x;;;;4;;;Floriel 1;;;Hei igjen!;2;;;;;;;;;;;;;;;;;;Hi again!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Options 1 - 1;;;;;;4;;;;;;Har du funnet den oransje blomsten enda?;;Nei, ikke enda.;3;;;Blomst Schmomst.;4;;;Det er mange blomster rundt oss.;5;;;Hvilken blomst?;6;;;;Have you found the orange flower yet?;No, not yet.;Flower Schmower.;There are many flowers around us.;What flower?;;;;;;;;;;;;;;;;;;;;;;;;
3;;x;;;;;;8;;;;;;Hmm... Hvor ville jeg gjemt meg hvis jeg var en blomst?;8;;;;;;;;;;;;;;;;;;Hmm… Where would I hide if I were a flower?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;x;;;;;;10;;;;;;Det er en blomst, ikke en schmomst! Jeg må finne den for å være lykkelig!;8;;;;;;;;;;;;;;;;;;It's a flower, not a schmower! I have to find it to be happy!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;x;;;;;;4;;;;;;Ja, men ingen av dem er like spesielle som blomsten jeg ser etter. Jeg må finne den!;8;;;;;;;;;;;;;;;;;;Yes, but none of them are as special as the flower I'm looking for. I have to find it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;6;;;;;;Ugh, har du ikke fulgt med på noe av det jeg har sagt?;7;;;;;;;;;;;;;;;;;;Ugh, have you not been listening to anything I've said?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;x;;;;;;4;;;;;;Det er en spesiell oransje blomst som kommer til å gjøre meg lykkelig! Jeg må finne den!;8;;;;;;;;;;;;;;;;;;It's a special orange flower that's going to make me happy! I have to find it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;Options 1 - 2;;;;;;5;;;;;;Du tror vel ikke den er ute i vannet?;;Den er sikkert ikke det.;9;;;Vet ikke. Bryr meg ikke.;16;;;Det kan hende.;18;;;Liker du ikke vannet?;19;;;;You don't think it's in the water, do you?;Probably not.;Don't know. Don't care.;It might be.;Do you not like the water?;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;4;;;;;;Jeg håper du har rett!;10;;;;;;;;;;;;;;;;;;I hope you're right!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;x;;;;;;5;;;;;;Jeg synes vannet er veldig fint, men jeg har aldri lært meg å svømme.;11;;;;;;;;;;;;;;;;;;I think the water is very pretty, but I've never learned to swim.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;x;;;;;;4;;;;;;Jeg skulle gjerne hatt med meg en bit av vannet overalt hvor jeg går. Bare en liten bit... Eller kanskje jeg kunne vært en del av det...;12;;;;;;;;;;;;;;;;;;I would love to bring a piece of the water with me everywhere I go. Just a little piece… Or maybe I could be a part of it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;x;;;;;;5;;;;;;...;13;;;;;;;;;;;;;;;;;;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;x;;;;;;8;;;;;;Hva snakket vi om igjen?;14;;;;;;;;;;;;;;;;;;What were we talking about?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;2;;;;;;Åja, blomsten! Tingen jeg har dedikert livet mitt til å finne! Jeg glemte den i et sekund…;15;;;;;;;;;;;;;;;;;;Oh right, the flower! The thing I've dedicated my life to find! I forgot about it for a second…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;Options 1 - 3;;;;;;4;;;;;;Siden du ikke tror den er i vannet, så kan jeg vel bare fortsette å lete på land. Og så kan du si fra hvis du ser den i vannet.;;Så klart! Du kan bare bli på land!;23;;;Vi kan lære å svømme sammen.;24;;;Det er aldri for sent å lære å svømme.;25;;;Nei, finn den selv.;16;;;;Since you don't think it's in the water, I can probably just keep searching on land. And then you can tell me if you see it in the water.;Of course! Just keep searching on land!;We can learn to swim together.;It's never too late to learn to swim.;No, find it yourself.;;;;;;;;;;;;;;;;;;;;;;;;
16;;x;;;;;;7;;;;;;Å! Kom igjen! Ikke vær så slem! Jeg må finne blomsten!;17;;;;;;;;;;;;;;;;;;Oh! Come on! Don't be mean! I have to find the flower!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;x;;;;;;5;;;;;;Nei, den er sikkert ikke i vannet...;36;;;;;;;;;;;;;;;;;;No, it's probably not in the water…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;x;;;;;;5;;;;;;Jeg setter pris på at du er ærlig. Jeg liker egentlig vannet veldig godt...;20;;;;;;;;;;;;;;;;;;I appreciate your honesty. I actually really like the water…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;x;;;;;;5;;;;;;Joda, jeg liker det egentlig veldig godt.;20;;;;;;;;;;;;;;;;;;Well, I actually like it a lot.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;x;;;;;;4;;;;;;Det er så nydelig. Jeg liker hvordan det skinner og glitrer. Og hvordan det danser med vinden. Og hvordan det er både beroligende, men samtidig så kaotisk.;21;;;;;;;;;;;;;;;;;;It's so beautiful. I like how it shines and sparkles. And how it dances with the wind. And how it's both relaxing, but also chaotic.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;x;;;;;;4;;;;;;Jeg skulle gjerne hatt med meg en bit av vannet overalt hvor jeg går. Bare en liten bit... Eller kanskje jeg kunne vært en del av det...;22;;;;;;;;;;;;;;;;;;I would love to bring a piece of the water with me everywhere I go. Just a little piece… Or maybe I could be a part of it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;Options 1 - 4;;;;;;5;;;;;;Men jeg har aldri lært meg å svømme.;;Gjesp.;16;;;Det er aldri for sent å lære.;26;;;Vi kan lære sammen.;27;;;Det trenger du sikkert ikke.;28;;;;But I've never learned to swim.;Yawn.;It's never too late to learn.;We can learn together.;You probably don't need to;;;;;;;;;;;;;;;;;;;;;;;;
23;;x;;;;;;3;;;;;;Takk! Du er best!;36;;;;;;;;;;;;;;;;;;Thanks! You're the best!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;x;;;;;;5;;;;;;Å, så snilt!;37;;;;;;;;;;;;;;;;;;Oh, that's so nice!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;x;;;;;;5;;;;;;Heh. Nei, det er vel ikke det...;37;;;;;;;;;;;;;;;;;;Heh. No, I guess not…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;x;;;;;;5;;;;;;Heh. Nei, det er vel ikke det...;32;;;;;;;;;;;;;;;;;;Heh. No, I guess not…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;x;;;;;;5;;;;;;Takk for det, men...;32;;;;;;;;;;;;;;;;;;Thanks, but…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;x;;;;;;5;;;;;;Jeg håper ikke det...;29;;;;;;;;;;;;;;;;;;I hope not…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;x;;;;;;5;;;;;;...;30;;;;;;;;;;;;;;;;;;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;x;;;;;;8;;;;;;Hva snakket vi om igjen?;31;;;;;;;;;;;;;;;;;;What were we talking about?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;x;;;;;;2;;;;;;Åja, blomsten! Tingen jeg har dedikert livet mitt til å finne! Jeg glemte den i et sekund… Jeg må finne den!;36;;;;;;;;;;;;;;;;;;Oh right, the flower! The thing I've dedicated my life to find! I forgot about it for a second... I have to find it!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;x;;;;;;5;;;;;;…;33;;;;;;;;;;;;;;;;;;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;x;;;;;;8;;;;;;Hva snakket vi om igjen?;34;;;;;;;;;;;;;;;;;;What were we talking about?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;x;;;;;;2;;;;;;Åja, Blomsten! Tingen jeg har dedikert livet mitt til å finne! Jeg glemte den i et sekund…;35;;;;;;;;;;;;;;;;;;Oh right, the flower! The thing I've dedicated my life to find! I forgot about it for a second…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;;x;;;;;;5;;;;;;Kanskje jeg kan gå i vannet for å lete etter den...;37;;;;;;;;;;;;;;;;;;Maybe I can go into the water to look for it…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;;Ending 1 - 1;;;x;;;4;;;;Floriel 3;;Da fortsetter jeg bare å lete på land!;;;;;;;;;;;;;;;;;;;I'll just keep searching on land!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;Ending 1 - 2;;;x;;;5;;;;Floriel 4;;Kanskje senere en gang... Kanskje...;;;;;;;;;;;;;;;;;;;Maybe later some time… Maybe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;;Opening 2;;x;;;;4;;;Floriel 2;;;Hei igjen!;39;;;;;;;;;;;;;;;;;;Hi again!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;;Options 2 - 1;;;;;;4;;;;;;Se på vannet! Er det ikke fint?;;Nei.;40;;;Absolutt!;42;;;;;;;;;;;;Look at the water! Isn't it pretty?;No.;Absolutely!;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;x;;;;;;8;;;;;;Åh…;41;;;;;;;;;;;;;;;;;;Oh…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;x;;;;;;5;;;;;;Vel, jeg synes det er veldig fint!;43;;;;;;;;;;;;;;;;;;Well, I think it's very pretty!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;x;;;;;;4;;;;;;Det er så nydelig.;43;;;;;;;;;;;;;;;;;;It's so beautiful.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;;x;;;;;;4;;;;;;Jeg liker hvordan det skinner og glitrer. Og hvordan det danser med vinden. Og hvordan det er både beroligende, men samtidig så kaotisk.;44;;;;;;;;;;;;;;;;;;I like how it shines and sparkles. And how it dances with the wind. And how it's both relaxing, but also so chaotic.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
