Index;;Description;;First segment;Last segment;;Player Anim;NPC Anim;Cutscene;;Stats Required;Stats To Get;;Norwegian;Main Link;Option 1;Link;Alt. Link;Story Value;Option 2;Link;Alt. Link;Story Value;Option 3;Link;Alt. Link;Story Value;Option 4;Link;Alt. Link;Story Value;;English;Option 1;Option 2;Option 3;Option 4;;German;Option 1;Option 2;Option 3;Option 4;;Chinese;Option 1;Option 2;Option 3;Option 4;;Japanese;Option 1;Option 2;Option 3;Option 4;;Korean;Option 1;Option 2;Option 3;Option 4
1;;Opening;;x;;;;4;;;;;;Hei! Du må være den nye personen Stepellier snakket om.;2;;;;;;;;;;;;;;;;;;Hi! You must be the new person Stepellier was talking about.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;x;;;;;;4;;;;;;Og du har samlet 5 Glutinum planter.;3;;;;;;;;;;;;;;;;;;And you've collected 5 Glutinum plants.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;x;;;;;;5;;;;;;...Det er det botaniske navnet på limplanter... Hehe...;4;;;;;;;;;;;;;;;;;;…That's the botanical name of glueplants… Hehe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;Options 1;;;;;;4;;;;;;Jeg er Larry, Stepellier's partner.;;Han kalte deg assistant.;5;;;Nerd!;8;;;Hyggelig å møte deg!;10;;;;;;;;I'm Larry, Stepellier's partner.;He called you assistant;Nerd!;Nice to meet you!;;;;;;;;;;;;;;;;;;;;;;;;;
5;;x;;;;;;5;;;;;;Åja… Hehe…;6;;;;;;;;;;;;;;;;;;Oh yeah… Hehe…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;x;;;;;;5;;;;;;Ja, det er han som er frontfiguren i samarbeidet vårt…;7;;;;;;;;;;;;;;;;;;Yeah, he's the frontman of our cooperation…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;x;;;;;;5;;;;;;Jeg jobber bedre bak kulissene...;11;;;;;;;;;;;;;;;;;;I work better behind the scenes…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;x;;;;;;5;;;;;;Hehe, ja... Jeg er litt nerdete...;9;;;;;;;;;;;;;;;;;;Hehe, yeah… I am a little nerdy…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;x;;;;;;5;;;;;;Jeg velger å ta det som et kompliment... Takk...;11;;;;;;;;;;;;;;;;;;I'll choose to take it as a compliment… Thanks...;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;Options 2;;;;;;4;;;;;;Det er sannelig en glede å bli kjent med deg.;;Nerd!;8;;;Jeg samlet noen limplanter.;14;;;Sannelig hyggelig å møte deg!;15;;;;;;;;It's indeed a pleasure to make your acquaintance.;Nerd!;I collected some glueplants.;Nice to meet you, indeed.;;;;;;;;;;;;;;;;;;;;;;;;;
11;;x;;;;;;4;;;;;;Men uansett... Takk for at du samlet limplantene!;12;;;;;;;;;;;;;;;;;;But anyhow… Thanks for collecting the glueplants!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;x;;;;;;4;;;;;;Jeg er for opptatt med jobben min her i Metalworks til å kunne samle dem selv. Og Stepellier... han er også opptatt med...;13;;;;;;;;;;;;;;;;;;I'm too busy with my work here in the Metalworks to collect them myself. And Stepellier… He's also busy with…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;Options 3;;;;;;4;;;;;;Ahem… Du lurer kanskje på hva vi skal gjøre med limplantene.;;Ja.;21;;;Ikke egentlig.;16;;;Skal dere lage syltetøy?;18;;;;;;;;Ahem… You're probably what we're gonna do with the glueplants.;Yes.;Not really.;Are you gonna make jam?;;;;;;;;;;;;;;;;;;;;;;;;;
14;;x;;;;;;4;;;;;;Å, ja! Takk!;12;;;;;;;;;;;;;;;;;;Oh, yeah! Thanks!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;Options 4;;;;;;5;;;;;;Jepp... Hyggelig, hyggelig...;;Nerd!;8;;;Jeg samlet noen limplanter.;14;;;Mhm… Sannelig hyggelig…;20;;;;;;;;Yup… Nice, nice…;Nerd!;I collected some glueplants.;Mhm… Nice, indeed.;;;;;;;;;;;;;;;;;;;;;;;;;
16;;x;;;;;;5;;;;;;Å... Vel... Du er en del av operasjonen nå, så...;17;;;;;;;;;;;;;;;;;;Oh… Well… You're a part of the operation now, so…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;x;;;;;;5;;;;;;Jeg tror du burde vite planen...;21;;;;;;;;;;;;;;;;;;I think you should know the plan…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;x;;;;;;5;;;;;;Ehm... Nei... Nei, det er ikke planen...;19;;;;;;;;;;;;;;;;;;Ehm… No… No, that's not the plan…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;x;;;;;;8;;;;;;Selv om jeg nå er nysgjerrig på hvordan det ville smakt...;21;;;;;;;;;;;;;;;;;;Although, now I'm curious how that would taste…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;x;;;;;;5;;;;;;Jepp... Mhm...;11;;;;;;;;;;;;;;;;;;Yup… Mhm…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;x;;;;;;4;;;;;;Funksjonen til pidestallene du plasserte dem på er ikke bare å vise dem frem.;22;;;;;;;;;;;;;;;;;;The function of the pedestals you placed them on is not just to show them off.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;x;;;;;;4;;;;;;De er komponenter av en maskin som absorberer livsessensen i hver plante og analyserer styrken av innholdet.;23;;;;;;;;;;;;;;;;;;They are components of a machine that absorbs the life essence in each plant and analyzes the potency of the content.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;Options 5;;;;;;4;;;;;;På den måten kan vi observere hvor målingene slår sterkest ut for å lokalisere kjerneblokken.;;Kult!;24;;;Er det etisk?;25;;;Hæ?;27;;;Hva er kjerneblokken?;30;;;;That way we can observe where the readings are strongest to locate the Source Block.;Cool!;Is that ethical?;What?;What's the Source Block?;;;;;;;;;;;;;;;;;;;;;;;;
24;;x;;;;;;3;;;;;;Ja, det er veldig kult!;32;;;;;;;;;;;;;;;;;;Yes, it's very cool!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;x;;;;;;8;;;;;;Ehm... Jada...;26;;;;;;;;;;;;;;;;;;Ehm… Yeah…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;x;;;;;;8;;;;;;Livsessensen flyter konstant gjennom verden, så alt vi absorberer vil bare komme tilbake...;33;;;;;;;;;;;;;;;;;;The life essence constantly flows through the world, so anything we absorb will just come back…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;x;;;;;;4;;;;;;Ved å observere konsentratnivået i livsessensen som har blitt absorbert av limet i planten, kan vi...;28;;;;;;;;;;;;;;;;;;By observing the level of concentration in the life essence we absorb from the glue in the plant, we can...;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;x;;;;;;5;;;;;;Du henger ikke med, gjør du?;29;;;;;;;;;;;;;;;;;;You're not following, are you?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;Options 6;;;;;;4;;;;;;Hovedpunktet på agendaen er at vi skal lokalisere kjerneblokken.;;Kult!;24;;;Er det etisk?;25;;;Hva er kjerneblokken?;30;;;;;;;;The main point on the agenda is that we're gonna locate the Source Block.;Cool!;Is that ethical?;What's the Source Block?;;;;;;;;;;;;;;;;;;;;;;;;;
30;;x;;;;;;4;;;;;;Det er en veldig mektig blokk som vil la oss endre livene til alle blokk-vesener.;31;;;;;;;;;;;;;;;;;;It's a very powerful block that will allow us to change the lives of all block-beings.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;Options 7;;;;;;4;;;;;;Vi jobber mot progresjon som aldri har blitt sett før.;;Kult!;24;;;Er det etisk?;25;;;;;;;;;;;;We're working toward progression that has never been seen before.;Cool!;Is that ethical?;;;;;;;;;;;;;;;;;;;;;;;;;;
32;;Ending 1;;;x;;;9;;;;1;;Vi er på terskelen til å låse opp store ting.;;;;;;;;;;;;;;;;;;;We're on the cusp of unlocking great things.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;;Ending 2;;;x;;;8;;;;2;;Denne delen av planen er i hvert fall etisk...;;;;;;;;;;;;;;;;;;;This part of the plan is at least ethical…;;;;;;;;;;;;;;;;;;;;;;;;;;;;
